objectID,clip_scores_score_set_1_masterpiece,clip_scores_score_set_2_quality,clip_scores_score_set_3_influence,clip_scores_mean_value_score,openclip_l14_scores_score_set_1_masterpiece,openclip_l14_scores_score_set_2_quality,openclip_l14_scores_score_set_3_influence,openclip_l14_scores_mean_value_score,openclip_scores_score_set_1_masterpiece,openclip_scores_score_set_2_quality,openclip_scores_score_set_3_influence,openclip_scores_mean_value_score,siglip_scores_score_set_1_masterpiece,siglip_scores_score_set_2_quality,siglip_scores_score_set_3_influence,siglip_scores_mean_value_score,z_clip_scores_mean_value_score,z_openclip_l14_scores_mean_value_score,z_openclip_scores_mean_value_score,z_siglip_scores_mean_value_score,cross_model_mean_raw,cross_model_mean,cross_model_sd,prompt_sd,model_rank_disagreement,risk_score,title,department,classification,culture,medium,artistDisplayName,inferred_gender,century,medium_category
678610,-0.0007726228795945,0.0051244525238871,-0.1894442290067672,-0.0451892772689461,-0.0033597482834011,0.0359905771911144,-0.37453094124794,-0.2076753234141506,-0.0001939326466526,0.0005407810094766,-0.0254190843552351,-0.0431737984545179,8.457727432250977,-7.162385940551758,-3.685615539550781,-1.9196596145629885,0.5598601419114686,-0.7778683464082554,0.26040843747122344,-0.6904521257244176,-0.5539245034251508,-0.16201297318749525,0.6728215268911477,3.5145591161192797,0.20253412853906352,4.389914771549491,Set of Sacrificial Weapons,Arms and Armor,Shafted Weapons,"Indian, Bengal (?) or Nepalese","Steel, wood, brass",,unknown,19th c. CE,other
24316,-0.0007726228795945,0.0051244525238871,-0.1894442290067672,-0.0451892772689461,-0.0033597482834011,0.0359905771911144,-0.37453094124794,-0.2076753234141506,-0.0001939326466526,0.0005407810094766,-0.0254190843552351,-0.0431737984545179,8.457727432250977,-7.162385940551758,-3.685615539550781,-1.9196596145629885,0.5598601419114686,-0.7778683464082554,0.26040843747122344,-0.6904521257244176,-0.5539245034251508,-0.16201297318749525,0.6728215268911477,3.5145591161192797,0.20253412853906352,4.389914771549491,Sacrificial Sword (Rāmdāo),Arms and Armor,Shafted Weapons,"Indian, Bengal (?) or Nepalese","Steel, wood, brass",,unknown,19th c. CE,other
325875,-0.0005175639525987,0.0018720363732427,-0.1319321542978286,-0.0324392851180164,-0.0059361276216804,0.0056987088173627,-0.88974529504776,-0.2425949365133419,-3.238261570004397e-06,0.0001116674247896,-0.0143337184563279,-0.050483070330813,8.851995468139648,-1.2918987274169922,-0.2252311706542968,1.5723204612731934,0.7208636858688979,-0.9676101196594111,0.18174250816222495,2.356901030291246,0.3117007923277555,0.5729742761657395,1.3821153495689393,2.6556851714237317,0.34457580192508314,4.382376322917755,Furniture element made from a hippopotamus incisor,Ancient West Asian Art,,Assyrian,Ivory (hippopotamus),,unknown,9th c. BCE,other
814649,-0.0008640028536319,0.0208460390567779,-0.7684187293052673,-0.1820449973456561,0.0127129079774022,0.3702915012836456,-0.1911088675260543,0.1381413035560399,0.062893696129322,0.6719748973846436,-0.1069337651133537,0.2929843701422214,-3.033048629760742,-4.134647369384766,-0.7083091735839844,-2.73392391204834,-1.1683178586992635,1.1011862649550341,3.8783057020722826,-1.401037759916126,-0.6212108089239337,0.6025340871029818,2.4582887291795985,1.4444892585558475,0.45615717366197445,4.3589351613974205,Vase (Old World),The American Wing,,American,Porcelain with enameled and gilded decoration,Joseph S. Potter,male,19th c. CE,other
701293,-0.0052498960867524,0.0334263071417808,-0.1234749108552932,-0.0168229446280747,0.0822734087705612,0.0379625670611858,0.178885206580162,-0.0578196989372372,0.0001871012646006,0.0176259726285934,-0.0012494220864027,-0.1458724146468739,9.618355751037598,-3.8287477493286137,-2.448749542236328,-0.0723204612731933,0.9180627219752202,0.036398175936670586,-0.8448838841512202,0.9216689851501726,-0.07320887987134478,0.2578114997277108,0.8449061894693524,3.1932954217087355,0.2985206691481874,4.336722280326275,Poems from the Pavilion of True Meaning,Asian Art,Calligraphy,China,Album of twenty-eight leaves; ink on paper,Zhou Lianggong,unknown,17th c. CE,drawing_paper
57569,-0.0018087833886966,0.0057978024706244,-0.3110592663288116,-0.0788298443367239,-0.0192705858498811,0.0675255805253982,0.0564574524760246,-0.1330689885653555,-0.0004573793266899,0.0195279289036989,-0.0081736743450164,-0.1875009502546163,9.22981071472168,-7.036524772644043,-1.5169353485107422,-1.532301664352417,0.13505591814927048,-0.372481888380526,-1.2929103763626009,-0.35241569755284974,-0.4829253618772782,-0.47068801103667657,0.5962684262566534,3.530245265832547,0.20287356188238176,4.329387253971582,Picture Book of Crawling Creatures (The Insect Book) (Ehon mushi erami) 画本虫撰,Asian Art,Illustrated Books,Japan,One from a set of two polychrome woodblock printed books; ink and color on paper,Kitagawa Utamaro 喜多川歌麿,unknown,19th c. CE,drawing_paper
312694,-0.0001250927743967,0.0017858375795185,-0.7394686937332153,-0.1840763115833397,-0.0001012949433061,0.000188841833733,-0.9885395169258118,-0.2498034239379194,1.3003859749005642e-06,0.0013540307991206,-0.1344827562570572,-0.0391876511790769,7.94549560546875,-1.1953411102294922,-2.466151237487793,0.7777693271636963,-1.1939687600713398,-1.0067786861184038,0.3033092879378833,1.6635185213533603,0.07617548511584006,-0.05847990922462498,1.3272497276639348,2.5529637121871747,0.43398333996586197,4.314196779816972,Ear Spool,The Michael C. Rockefeller Wing,Metal-Ornaments,Greater Coclé,Gold,,unknown,5th c. CE,other
57363,-0.0004169149906374,0.0037361360155045,-0.2042343467473983,-0.0518950411496916,0.0040018483996391,0.0219122730195522,0.1152424812316894,-0.1612165151163935,0.0013417995069175,0.0412760898470878,-0.0158671699464321,-0.1563652664772234,8.440895080566406,-4.939287185668945,2.001056671142578,0.3213777542114258,0.4751815211749826,-0.5254263550118479,-0.957813045127301,1.2652383851524056,-0.012024767132970682,0.06429512654705982,1.0005946365529343,2.9728140955838183,0.3091194820535866,4.282528214190339,Page of a Pilgrim’s Visiting Album,Asian Art,Illustrated Books,Japan,"Album page; ink, color, and gold on paper, textile cover",,unknown,18th c. CE,drawing_paper
126673,-0.0005019874079152,0.0009513857075944,-0.8757295608520508,-0.2187849827168975,6.544407369801775e-05,0.0001136940845753,-0.977019190788269,-0.2492086584370554,-2.82170731225051e-07,0.0005642822361551,-0.0033892702776938,-0.0076946743743064,4.552837371826172,-7.058734893798828,-4.8881683349609375,-2.7263126373291016,-1.6322607207568411,-1.0035469246300395,0.6422519800394876,-1.3943956137602893,-0.8005002382143402,-0.8469878197769205,1.0261018072616355,2.845108299820092,0.40525521454453983,4.276465321626267,Pin (ttipqui),The Michael C. Rockefeller Wing,Metal-Ornaments,Peruvian,"Silver, glass",Peruvian artist(s),unknown,18th c. CE,other
459016,-0.0088846404105424,0.063680924475193,-0.0078852670267224,0.0328407662454992,0.1028525754809379,0.4453434348106384,0.0016380193410441,0.2485854220285546,0.016476597636938,0.0201568473130464,2.9326387448236343e-05,-0.1722629333453369,0.6121177673339844,-4.959334373474121,-4.851200103759766,-3.040544271469116,1.5452029870097725,1.7013035350006454,-1.1289114471556747,-1.6686167551244004,-0.7328452541350998,0.11224457993258574,1.759773994710083,1.968024686996407,0.51310273650916,4.240901418215651,The Annunciation,Robert Lehman Collection,Paintings,,Tempera and gold on wood,Botticelli (Alessandro di Mariano Filipepi),unknown,15th c. CE,painting
