objectID,department,title,artistDisplayName,inferred_gender,century,medium_category,img_width,img_height,aspect_ratio,score_set_1_masterpiece,score_set_2_quality,score_set_3_influence,score_set_4_neutral_control,mean_value_score
678610,Arms and Armor,Set of Sacrificial Weapons,,unknown,19th c. CE,other,599,337,1.78,8.457727432250977,-7.162385940551758,-3.6856155395507812,-5.288364410400391,-1.9196596145629883
325670,Ancient West Asian Art,Furniture plaque carved in relief with a falcon-headed figure,,unknown,9th c. BCE,other,529,625,0.85,5.109163284301758,-6.668792724609375,-1.476419448852539,-2.7299232482910156,-1.441493034362793
325562,Ancient West Asian Art,Furniture element carved in the round with the head of a roaring lion,,unknown,9th c. BCE,other,599,575,1.04,5.325019836425781,-8.073213577270508,-1.2045650482177734,-3.7375946044921875,-1.9225883483886719
327480,Ancient West Asian Art,Lobed bowl,,unknown,5th c. CE,other,598,336,1.78,5.137041091918945,-2.881429672241211,-4.0644731521606445,-3.1188440322875977,-1.231926441192627
325345,Ancient West Asian Art,Plaque carved in relief with Egyptianizing creature,,unknown,8th c. BCE,other,511,625,0.82,3.983287811279297,-4.725046157836914,-2.601491928100586,-0.4079761505126953,-0.9378066062927246
14006,The American Wing,Water-lily textile,Associated Artists,unknown,19th c. CE,print,280,624,0.45,7.6476030349731445,-3.0858774185180664,-0.6131629943847656,-2.5936508178710938,0.3387279510498047
325867,Ancient West Asian Art,Cloisonné furniture plaque with a figure holding a sword,,unknown,9th c. BCE,other,600,545,1.1,2.6947689056396484,-6.6629533767700195,-1.3101367950439453,-4.320211410522461,-2.3996331691741943
322358,Ancient West Asian Art,Drachm,,unknown,1th c. CE,other,600,600,1.0,-1.9035320281982422,-6.431775093078613,-4.01666259765625,-4.164416313171387,-4.129096508026123
324596,Ancient West Asian Art,Plaque with tribute bearers,,unknown,9th c. BCE,other,600,510,1.18,4.453277587890625,-5.934665679931641,-3.435370445251465,-2.278839111328125,-1.7988994121551514
20615,The American Wing,Sampler,Julia Ann Fitch,female,19th c. CE,other,548,625,0.88,3.9312686920166016,-1.9742403030395508,0.8901948928833008,-1.9522314071655273,0.22374796867370605
14047,The American Wing,Embroidered Sampler,A. H.,unknown,19th c. CE,other,595,625,0.95,3.952960968017578,-3.7453460693359375,2.7055492401123047,-4.748686790466309,-0.4588806629180908
322353,Ancient West Asian Art,Drachm,,unknown,1th c. BCE,other,600,600,1.0,0.2566089630126953,-5.525301933288574,-3.388956069946289,-3.426828384399414,-3.0211193561553955
324382,Ancient West Asian Art,Plaque,,unknown,9th c. BCE,other,599,282,2.12,6.824378967285156,-2.99434757232666,-4.991259574890137,0.4744529724121094,-0.1716938018798828
322621,Ancient West Asian Art,Relief panel,,unknown,9th c. BCE,other,570,625,0.91,3.2334976196289062,-4.424489974975586,-1.4984397888183594,-1.7229938507080078,-1.1031064987182617
322359,Ancient West Asian Art,Drachm,,unknown,1th c. CE,other,600,600,1.0,0.6504974365234375,-8.230993270874023,-5.238473892211914,-3.934358596801758,-4.1883320808410645
325565,Ancient West Asian Art,Cloisonné furniture plaque with two sphinxes flanking a cartouche,,unknown,9th c. BCE,other,599,471,1.27,2.9956893920898438,-3.6891908645629883,-2.8721847534179688,-0.11775398254394531,-0.9208600521087646
327832,Ancient West Asian Art,Panel fragment with the god Shiva/Oesho,,unknown,2th c. CE,sculpture,491,624,0.79,5.117042541503906,-2.713735580444336,0.4673595428466797,-0.6901073455810547,0.5451397895812988
322351,Ancient West Asian Art,Silver drachm,,unknown,2th c. BCE,other,599,400,1.5,0.7236137390136719,-6.9322509765625,-1.8693599700927734,-4.3772735595703125,-3.1138176918029785
325868,Ancient West Asian Art,"Furniture plaque carved in relief with a winged, falcon-headed sphinx",,unknown,9th c. BCE,other,491,625,0.79,6.469643592834473,-5.292117118835449,-2.234524726867676,-1.928487777709961,-0.7463715076446533
310599,The Michael C. Rockefeller Wing,Fish hacha,Classic Veracruz artist(s),unknown,6th c. CE,other,595,625,0.95,4.169696807861328,-7.492766380310059,-2.0314178466796875,-3.987611770629883,-2.335524797439575
308458,The Michael C. Rockefeller Wing,Spout-and-bridge bottle with fox,Topará artist(s),unknown,2th c. BCE,other,600,489,1.23,2.251291275024414,-2.8139514923095703,0.4261589050292969,-3.4965362548828125,-0.908259391784668
662967,The Michael C. Rockefeller Wing,Vessel with mythological scene,Maya artist(s),female,6th c. CE,other,468,624,0.75,5.063688278198242,-2.632312774658203,0.2205810546875,-0.9211463928222656,0.43270254135131836
312928,The Michael C. Rockefeller Wing,Neckless jar with complex scene,Paracas artist(s),unknown,4th c. BCE,other,468,624,0.75,3.4969654083251953,-4.437784194946289,-1.0045337677001953,-3.693105697631836,-1.4096145629882812
701288,The Michael C. Rockefeller Wing,Yäʿğğ mäsqäl (hand cross),Northern Highlands artist,unknown,17th c. CE,other,387,625,0.62,4.371623992919922,-4.351802825927734,-4.323810577392578,-0.6211090087890625,-1.2312746047973633
308532,The Michael C. Rockefeller Wing,Tuber-inspired stirrup-spout bottle,Moche artist(s),unknown,5th c. CE,other,468,624,0.75,2.468395233154297,-3.493654251098633,-3.867523193359375,-3.1371517181396484,-2.00748348236084
313256,The Michael C. Rockefeller Wing,Mirror-bearer,Maya artist(s),female,5th c. CE,other,454,624,0.73,3.9356231689453125,-1.9751205444335938,-1.9838275909423828,-0.6807861328125,-0.17602777481079102
310568,The Michael C. Rockefeller Wing,Bottle with deity,Wari artist(s),unknown,7th c. CE,other,465,625,0.74,2.0232315063476562,-3.142688751220703,1.4468441009521484,-4.687900543212891,-1.0901284217834473
318345,The Michael C. Rockefeller Wing,Censer with seated king,Maya artist(s),female,3th c. CE,other,499,624,0.8,4.52745246887207,-7.39912223815918,-0.34823036193847656,-2.1728363037109375,-1.3481841087341309
313267,The Michael C. Rockefeller Wing,Kero (beaker),Inca artist(s),unknown,14th c. CE,other,600,602,1.0,5.963935852050781,-5.336464881896973,-2.695798873901367,-3.5352611541748047,-1.4008972644805908
310221,The Michael C. Rockefeller Wing,Gourd-shaped bottle,Topará artist(s),unknown,2th c. BCE,other,599,468,1.28,10.022848129272461,-2.2229461669921875,-3.9628238677978516,-1.8959159851074219,0.48529052734375
316846,The Michael C. Rockefeller Wing,Kero (beaker),Peruvian artist(s),unknown,16th c. CE,other,540,625,0.86,6.600349426269531,-5.454597473144531,-3.1702404022216797,-3.7840356826782227,-1.4521310329437256
757089,The Michael C. Rockefeller Wing,Door board (jovo),,unknown,18th c. CE,other,334,623,0.54,4.578407287597656,-1.543177604675293,-1.893117904663086,1.3312015533447266,0.618328332901001
757056,The Michael C. Rockefeller Wing,Door board (jovo),,unknown,18th c. CE,other,334,623,0.54,4.1796417236328125,-1.364114761352539,-1.7814407348632812,2.285797119140625,0.8299708366394043
308565,The Michael C. Rockefeller Wing,Stirrup-spout bottle with mountain sacrifice scene,Moche artist,unknown,5th c. CE,other,429,624,0.69,0.193572998046875,-1.1562919616699219,-0.7579803466796875,0.5179157257080078,-0.30069589614868164
316847,The Michael C. Rockefeller Wing,Kero (beaker),Peruvian artist(s),unknown,16th c. CE,other,487,624,0.78,6.439702987670898,-8.274581909179688,-2.8032684326171875,-5.086974143981934,-2.4312803745269775
310542,The Michael C. Rockefeller Wing,Whistling vessel,Maya artist(s),female,4th c. CE,other,480,624,0.77,3.985177993774414,-2.615262985229492,-3.433657646179199,-0.7712459564208984,-0.708747148513794
316274,The Michael C. Rockefeller Wing,Plate with trumpeter,Maya artist(s),female,7th c. CE,other,599,586,1.02,2.4256954193115234,-3.8082942962646484,1.2417984008789062,-4.307821273803711,-1.1121554374694824
314217,The Michael C. Rockefeller Wing,Vessel with mythological scene,Metropolitan Painter,unknown,6th c. CE,other,462,625,0.74,4.567058563232422,-4.680413246154785,-2.1943626403808594,-0.5303688049316406,-0.7095215320587158
313289,The Michael C. Rockefeller Wing,Hand with beaker,Inca artist(s),unknown,14th c. CE,other,599,426,1.41,6.14753532409668,-3.155254364013672,-2.0776939392089844,-2.7957496643066406,-0.4702906608581543
318662,The Michael C. Rockefeller Wing,Vessel with throne scene,Chamá artist(s),unknown,6th c. CE,other,499,624,0.8,7.232448577880859,-6.360526084899902,0.4914836883544922,-4.489993095397949,-0.781646728515625
313240,The Michael C. Rockefeller Wing,Relief with enthroned ruler,Chakalte',unknown,8th c. CE,other,600,606,0.99,3.2908496856689453,-2.5686874389648438,-1.278909683227539,-2.112852096557617,-0.6673998832702637
310227,The Michael C. Rockefeller Wing,Double-chambered bottle with monkeys,Topará artist(s),unknown,2th c. BCE,other,599,554,1.08,0.14696311950683594,2.8314266204833984,-3.217222213745117,1.2436599731445312,0.2512068748474121
313398,The Michael C. Rockefeller Wing,Nose ornament in the shape of a head,,unknown,5th c. CE,other,600,450,1.33,6.8345794677734375,-7.139080047607422,0.7367630004882812,-3.81854248046875,-0.8465700149536133
733038,The Michael C. Rockefeller Wing,Arganonä Maryam (The Organ of Mary) prayer book,"Baselyos, also known as ""The Ground Hornbill Master""",unknown,17th c. CE,drawing_paper,555,624,0.89,4.265422821044922,-5.219095230102539,-3.6475906372070312,-6.064177513122559,-2.6663601398468018
318674,The Michael C. Rockefeller Wing,Altar to the Sun Warrior,Mexico Nahua artist(s),unknown,15th c. CE,other,599,449,1.33,5.394979476928711,-4.066828727722168,-3.5774383544921875,-1.4549064636230469,-0.9260485172271729
316780,The Michael C. Rockefeller Wing,Pedestal Plate,,unknown,4th c. CE,other,600,556,1.08,4.567148208618164,-7.037380218505859,-2.227476119995117,-4.695484161376953,-2.3482980728149414
718242,The Michael C. Rockefeller Wing,Plate with the god Chahk,Maya artist(s),female,6th c. CE,other,599,587,1.02,4.112616539001465,-7.360465049743652,-1.4864730834960938,-2.527891159057617,-1.8155531883239746
313262,The Michael C. Rockefeller Wing,Deity figure,Maya artist(s),female,2th c. CE,other,475,624,0.76,0.8108501434326172,-4.848636627197266,-1.9668216705322266,-1.729104995727539,-1.9334282875061035
316779,The Michael C. Rockefeller Wing,Pedestal Plate,,unknown,4th c. CE,other,600,556,1.08,4.567148208618164,-7.037380218505859,-2.227476119995117,-4.695484161376953,-2.3482980728149414
309713,The Michael C. Rockefeller Wing,Yoke-form vessel,Maya artist(s),female,4th c. CE,other,498,625,0.8,6.147308349609375,-2.7993850708007812,-3.2286739349365234,-1.4164352416992188,-0.3242964744567871
307598,The Michael C. Rockefeller Wing,Eagle relief,Toltec artist(s),unknown,9th c. CE,other,599,553,1.08,4.874629974365234,-6.229640007019043,-1.7444992065429688,-2.814319610595703,-1.4784572124481201
310513,The Michael C. Rockefeller Wing,Ornament,Maya artist(s),female,4th c. CE,other,599,319,1.88,4.232608795166016,-5.483246803283691,-0.081878662109375,-2.4420242309570312,-0.9436352252960205
317760,The Michael C. Rockefeller Wing,Pair of carved ornaments with the Maize God,Maya artist(s),female,4th c. CE,other,599,359,1.67,2.9411773681640625,-7.542017936706543,-2.4839725494384766,-1.4849662780761719,-2.1424448490142822
310607,The Michael C. Rockefeller Wing,"Vessel, Seated Deities",,unknown,5th c. CE,other,468,624,0.75,5.161001205444336,-4.6628007888793945,-1.5344161987304688,-1.0997505187988281,-0.5339915752410889
317830,The Michael C. Rockefeller Wing,Hand Cross (mäsqäl),,unknown,17th c. CE,other,387,623,0.62,4.532567977905273,-5.908454895019531,-2.8715076446533203,-4.067930221557617,-2.078831195831299
316709,The Michael C. Rockefeller Wing,Nose ornament,Vicús artist(s),unknown,1th c. BCE,other,600,453,1.32,7.316583633422852,-4.997333526611328,-3.3079233169555664,-2.2620182037353516,-0.8126728534698486
313325,The Michael C. Rockefeller Wing,Ceremonial Handle (?),,unknown,6th c. CE,other,546,625,0.87,7.483249664306641,-5.720067977905273,-1.4846076965332031,-1.8856658935546875,-0.40177297592163086
312599,The Michael C. Rockefeller Wing,Pedestal Bowl,,unknown,12th c. CE,other,599,583,1.03,7.215066909790039,-4.326648712158203,0.8366832733154297,-3.0043907165527344,0.1801776885986328
307602,The Michael C. Rockefeller Wing,Prayer book with case (mahdar),Wäldä Maryam,unknown,18th c. CE,other,496,624,0.79,8.453969955444336,-3.8135690689086914,-1.0022048950195312,-2.581472396850586,0.26418089866638184
315884,The Michael C. Rockefeller Wing,Lidded Vessel,,unknown,2th c. CE,other,600,462,1.3,4.441474914550781,-5.34323787689209,0.4573173522949219,-5.258427619934082,-1.4257183074951172
309529,The Michael C. Rockefeller Wing,"Pendant Icon: St. George, Virgin and Child Enthroned",,unknown,17th c. CE,other,600,445,1.35,1.7197608947753906,-4.681227684020996,-6.509856224060059,-2.5762081146240234,-3.011882781982422
312581,The Michael C. Rockefeller Wing,House model,Nayarit artist(s),unknown,2th c. BCE,other,484,624,0.78,5.63067626953125,-4.7588958740234375,-0.9656009674072266,-3.0670852661132812,-0.7902264595031738
