objectID,title,department,primaryImage,primaryImageSmall,has_named_creator,inferred_gender,selection_stage
12793,Mrs. Gabriel Manigault,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP239228.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP239228.jpg,True,male,named_attribution
322244,Square plaque seal with stalk handle,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13441-015.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-015.jpg,False,,unknown_or_unattributed
323571,Furniture plaque: deer,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110495.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110495.jpg,False,,unknown_or_unattributed
4832,Sugar bowl,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP157655.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP157655.jpg,True,unknown,named_attribution
321904,Corner fragment of inscribed prism (kudurru),Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP273239.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP273239.jpg,False,,unknown_or_unattributed
325717,Head of a king,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DT209307-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT209307-001.jpg,False,,unknown_or_unattributed
324045,Cup decorated with ibexes,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-26823-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-26823-001.jpg,False,,unknown_or_unattributed
326158,Tetradrachm of Alexander the Great,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-13132-043.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13132-043.jpg,False,,unknown_or_unattributed
10771,Spring Landscape,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap17.66.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/ap17.66.jpg,True,male,named_attribution
324200,Head of a female figure,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-41768-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-41768-001.jpg,False,,unknown_or_unattributed
324110,Levantine vessel with rampant goats and olive trees,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP110529.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP110529.jpg,False,,unknown_or_unattributed
326157,Tetradrachm of Alexander the Great,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-36519-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-36519-001.jpg,False,,unknown_or_unattributed
324933,Female head,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-28968-001.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-28968-001.jpg,False,,unknown_or_unattributed
326395,Tetradrachm of Alexander the Great,Ancient West Asian Art,https://images.metmuseum.org/CRDImages/an/original/DP-16934-019.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-16934-019.jpg,False,,unknown_or_unattributed
764091,Our Lady of Valvanera,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-17034-002.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-17034-002.jpg,True,unknown,named_attribution
